회차,상호명,구분,소재지
1098,월드24시,자동,서울 은평구 통일로 855-15 
1098,동아,수동,대구 북구 칠곡중앙대로 385-1 
1098,로또복권신매점,자동,대구 수성구 달구벌대로 3233 신매동 효성백년가약상가 401동7호
1098,잉크션,자동,대전 서구 도산로 310 
1098,복권백화점,자동,울산 남구 수암로 52 
1098,팡팡복권방,자동,충북 진천군 장기길 102 
1098,테크노벨리복권,자동,충남 아산시 아산밸리중앙로 102 1층 102호
1098,콘테인복권판매점,수동,충남 천안시 동남구 청수11로 13-11 건물 뒤편 콘테인커피숍 내
1098,내가오늘주인공,자동,전북 순창군 금산로 8-30 
1098,이마트24 순천산단점,수동,"전남 순천시 산단1길 6 중앙정밀기계,마트 "
1098,안동슈퍼,자동,경북 안동시 경동로 669-3 
1098,이마트24포항신덕로점,수동,경북 포항시 북구 신덕로 215 이마트24신덕로점
1099,삼성열쇠공사,자동,서울 동작구 만양로 90-1 
1099,대박유통,자동,부산 중구 구덕로 80 1층
1099,팡팡복권,자동,부산 중구 보수대로 134 1층
1099,메트로센터점,자동,대구 중구 달구벌대로 지하 2100 메트로센터C412호
1099,보람복권방,자동,울산 남구 화합로194번길 18-1 1층
1099,가람,자동,"울산 중구 병영로 28-1 1층, 부동산"
1099,베스트 로또,수동,"경기 광명시 하안로 168-11 1층 105호(소하동, 외1필지)"
1099,잘찍어로또방,자동,경기 평택시 안현로서5길 64 
1099,설악슈퍼,수동,"강원 속초시 중앙시장로 116 중앙시장내, 설악슈퍼"
1100,길로또복권,수동,서울 강서구 등촌로 215 
1100,복권나라,자동,서울 관악구 은천로 40-1 
1100,프리마트,자동,인천 남동구 주안로 231 
1100,로또명당,자동,인천 부평구 부평대로 32 1층
1100,황금알 복권판매점,자동,대전 서구 한밭대로570번길 29-4 갤러리빌 8차 
1100,코사마트한양점,자동,경기 고양시 덕양구 마상로 156 
1100,리맥스복권방,자동,경기 구리시 경춘로 239 리맥스프라자 앞 가판대(인창동 676-1)
1100,복권나라,자동,강원 원주시 평원로 23 1층
1100,로또당진합덕원룸점,자동,충남 당진시 미락5길 27-3 1층 101호
1100,로또복권두정점,자동,충남 천안시 서북구 두정로 251 대원빌딩104호
1100,포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내
1100,통도복권,자동,경남 양산시 통도사로 71 복권판매점
1100,행운복권방,자동,경남 진주시 창렬로 76-1 1층
1101,넘보원 마트,자동,"서울 도봉구 도봉로165길 2,(도봉동) "
1101,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1101,기장슈퍼,자동,부산 기장군 차성동로 69 
1101,로또달인,자동,부산 사상구 모덕로 51 복권판매점
1101,복권명당 샘,자동,대구 동구 율하동로 36 
1101,대박복권방,자동,경기 고양시 일산서구 경의로 823 1층
1101,광명명당복권방,자동,경기 광명시 오리로 1024 1층(광명동)
1101,행복,자동,경기 수원시 영통구 신원로 33 103-2호(신동)
1101,이조박복권방,수동,경기 안양시 만안구 병목안로 119 1층 103호
1101,스카이편의점,자동,경기 안양시 만안구 박달로 527 
1101,황실복권방,자동,충남 천안시 동남구 충절로 799 
1101,현대장미슈퍼,자동,전북 익산시 동서로61길 41 현대아파트1층108호
1101,이삭,수동,전남 목포시 남악2로 54 남악프라자A동103호
1102,로또복권,자동,서울 광진구 긴고랑로 38 
1102,(개룡역)복 노다지,자동,서울 송파구 오금로44가길 12 
1102,씨스페이스 응암역점,자동,서울 은평구 연서로 9 센터폴리스 1층 107호
1102,돈벼락맞는곳,자동,부산 동구 조방로49번길 18-1 
1102,꿈하나,자동,대구 서구 팔달로 142 1층 복권방
1102,복권판매소(서문큰장네거리),자동,"대구 서구 국채보상로 438,(내당동) "
1102,오천억복권방,자동,광주 서구 상무대로 1087 
1102,영화유통(1등복권방),자동,울산 남구 신정로 19 삼성아파트 상가 204-101
1102,세종로또방,자동,세종 용포로 32 
1102,행운복권,자동,경기 군포시 대야1로 3 1동
1102,카베,자동,경기 부천시 부일로221번길 26 삼원타운1층-120
1102,태인(금돼지) 복권,수동,"경기 성남시 분당구 돌마로 85 제105호(금곡동, 동양프라자)"
1102,태인(금돼지) 복권,수동,"경기 성남시 분당구 돌마로 85 제105호(금곡동, 동양프라자)"
1102,아이지에이마트 동명사랑점,자동,경기 안산시 단원구 선부광장북로 36 113호
1102,하이로또복권방,수동,"경기 안양시 동안구 관악대로339번길 7,(관양동) "
1102,늘~행복나눔(터),수동,경기 이천시 중부대로 139  1층
1102,로또명당인주점,자동,충남 아산시 서해로 519-2 
1102,신불당로또,자동,충남 천안시 서북구 불당21로 40 501동 지1층 B143호
1102,알리바이한전공대점,자동,전남 나주시 빛가람로 793 1층
1102,대풍로또판매점,자동,경남 김해시 번화2로 36 
1103,토큰박스,자동,서울 강북구 도봉로 334 KFC앞 가판
1103,한마음,자동,서울 관악구 관악로 211 봉천중앙시장라열4호
1103,인터넷 복권판매사이트,반자동,동행복권(dhlottery.co.kr) 
1103,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1103,대길 복권방,자동,서울 영등포구 가마산로71길 9 1층(신길동)
1103,소원 로또복권,자동,부산 부산진구 중앙대로691번가길 21 1층 일부 북측(부전동)
1103,중흥마트,자동,광주 북구 문산로 30 중흥2차 아파트상가 1층
1103,열매로또복권,자동,"대전 유성구 은구비서로 31-1 102호, 지족동"
1103,복권닷컴,자동,경기 성남시 수정구 수정남로 64-1 
1103,아름드림 복권방,수동,경기 수원시 팔달구 덕영대로 693 
1103,아름드림 복권방,수동,경기 수원시 팔달구 덕영대로 693 
1103,해수로또,자동,충북 청주시 상당구 산성로 22-1 
1103,현대장미슈퍼,수동,전북 익산시 동서로61길 41 현대아파트1층108호
1103,로또복권판매,자동,경북 상주시 삼백로 159 
1103,홈런 복권판매점,자동,경남 사천시 벌리2길 42 
1103,영재복권,수동,경남 창원시 마산회원구 삼계숲길 27 1층
1103,우진슈퍼,자동,경남 창원시 성산구 창원대로 726 내동상가4호
