iter	Passed	Remaining
415	2663	3739
416	2677	3742
417	2684	3737
418	2691	3731
419	2697	3725
420	2704	3719
421	2711	3713
422	2717	3706
423	2724	3700
424	2730	3694
425	2736	3687
426	2743	3682
427	2749	3674
428	2755	3667
429	2760	3658
430	2765	3650
431	2770	3642
432	2775	3634
433	2781	3626
434	2786	3619
435	2791	3610
436	2796	3603
437	2802	3596
438	2808	3589
439	2813	3580
440	2818	3573
441	2824	3565
442	2829	3557
443	2834	3549
444	2839	3540
445	2844	3533
446	2850	3526
447	2855	3518
448	2860	3510
449	2865	3502
450	2871	3494
451	2876	3487
452	2881	3479
453	2886	3470
454	2891	3463
455	2897	3456
456	2902	3448
457	2907	3441
458	2913	3433
459	2918	3426
460	2924	3419
461	2929	3411
462	2934	3403
463	2939	3395
464	2944	3387
465	2949	3379
466	2954	3371
467	2959	3364
468	2964	3356
469	2970	3349
470	2975	3341
471	2980	3334
472	2986	3327
473	2991	3319
474	2997	3313
475	3002	3305
476	3007	3297
477	3013	3291
478	3019	3283
479	3024	3276
480	3029	3268
481	3034	3260
482	3039	3253
483	3045	3246
484	3050	3239
485	3055	3231
486	3061	3224
487	3067	3218
488	3072	3210
489	3078	3204
490	3083	3196
491	3089	3189
492	3094	3182
493	3100	3175
494	3105	3168
495	3110	3160
496	3116	3153
497	3121	3147
498	3128	3140
499	3134	3134
500	3139	3126
501	3144	3119
502	3150	3112
503	3155	3105
504	3162	3099
505	3168	3093
506	3174	3086
507	3180	3080
508	3187	3074
509	3193	3068
510	3199	3062
511	3205	3055
512	3212	3049
513	3218	3043
514	3224	3036
515	3230	3030
516	3237	3024
517	3244	3018
518	3250	3012
519	3256	3006
520	3263	3000
521	3269	2993
522	3275	2987
523	3281	2981
524	3287	2974
525	3294	2968
526	3300	2962
527	3306	2955
528	3311	2948
529	3318	2943
530	3324	2936
531	3330	2929
532	3336	2923
533	3342	2916
534	3347	2909
535	3353	2902
536	3359	2896
537	3364	2889
538	3370	2882
539	3376	2876
540	3382	2870
541	3388	2863
542	3394	2856
543	3399	2849
544	3405	2843
545	3411	2836
546	3416	2829
547	3423	2823
548	3428	2816
549	3433	2809
550	3439	2803
551	3445	2796
552	3451	2789
553	3456	2783
554	3462	2776
555	3469	2770
556	3475	2763
557	3481	2757
558	3487	2751
559	3493	2745
560	3499	2738
561	3505	2731
562	3511	2725
563	3516	2718
564	3522	2712
565	3528	2705
566	3534	2699
567	3540	2693
568	3546	2686
569	3552	2679
570	3559	2674
571	3565	2667
572	3571	2661
573	3576	2654
574	3582	2648
575	3588	2641
576	3594	2635
577	3600	2629
578	3607	2623
579	3613	2616
580	3618	2609
581	3624	2602
582	3630	2596
583	3635	2589
584	3641	2583
585	3648	2577
586	3654	2571
587	3660	2565
588	3666	2558
589	3671	2551
590	3676	2544
591	3681	2536
592	3687	2530
